Event_ID,Event_Date,Account,Post_ID,Campaign_ID,Discount_Code,Product,Revenue_INR,Quantity,Customer_City,City_Tier,First_Time_Buyer,Attribution_Window_Days,Refund_Flag,Payment_Status,UTM_Source,Lead_Score,Notes
EVT-000001,2025-09-02,GlowKart,PST-00271,CAM-2512-032,FIT12,Cold Brew,2998.0,1,Kolkata,Tier 3,Unknown,30,Yes,Paid,ig_reels,72,Manual entry
EVT-000002,2025-08-05,GlowKart,PST-00213,UNKNOWN-CAM,,Dog Treats,5999.0,1,Delhi NCR,Tier 1,Yes,30,No,Pending,ig_reels,98,Coupon mismatch
EVT-000003,2025-11-22,GlowKart,PST-00499,,,Dog Treats,2499.0,2,Hyderabad,Tier 2,No,45,Yes,Paid,bio_link,66,Coupon mismatch
EVT-000004,2026-01-21,CafeCanvas,PST-00082,CAM-2508-008,SAR25,Serum A,1598.0,2,Mumbai,Tier 1,No,45,Yes,Paid,influencer,37,
EVT-000005,2026-02-08,FitFuel India,PST-00380,,,Dog Treats,799.0,3,Kolkata,Metro,Unknown,7,No,Refunded,influencer,97,
EVT-000006,2025-11-22,ByteBazaar,PST-00451,CAM-2509-039,GLO19,Combo Pack,7998.0,2,Mumbai,Metro,,14,No,Paid,,18,Coupon mismatch
EVT-000007,2026-02-26,UrbanPaws,PST-00640,CAM-2510-028,GLO12,Smart Lamp,2499.0,4,Mumbai,Tier 1,No,30,No,Paid,paid_social,10,Late attribution
EVT-000008,2025-11-25,GlowKart,PST-00257,,,Silk Saree,3998.0,3,Chennai,Tier 2,No,30,No,Refunded,influencer,43,Manual entry
EVT-000009,2025-10-04,SareeStreet,PST-00357,CAM-2508-047,GLO17,Serum A,11998.0,3,Hyderabad,Metro,Yes,30,No,Paid,,8,Manual entry
EVT-000010,2025-12-25,FitFuel India,PST-00410,,,Smart Lamp,1197.0,2,Pune,Metro,No,7,Yes,Refunded,,44,Manual entry
EVT-000012,2025-12-19,GlowKart,PST-00603,UNKNOWN-CAM,,Gift Card,2499.0,2,Lucknow,Metro,,45,Yes,Failed,paid_social,60,Coupon mismatch
EVT-000013,2025-10-26,GlowKart,PST-00499,CAM-2511-013,SAR32,Gift Card,0.0,3,Bengaluru,Tier 1,No,14,No,Paid,ig_reels,7,
EVT-000014,2025-07-18,FitFuel India,PST-00491,CAM-2508-047,GLO17,Dog Treats,4998.0,2,Jaipur,Metro,No,3,No,Pending,bio_link,88,Manual entry
